t,s,Solar,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand,emission
5031,Avg,2.4083846244436518,1.6327219940736728,0.0,11.067365952633512,0.0,0.0,0.0,0.0,11.937316141530099,0.2408384624443652,0.7756626303699788,-0.0,0.0
5032,Avg,1.5793445325678563,0.8136295361849059,0.0,11.880995488818417,0.0,0.0,0.0,0.0,11.937316141530099,0.15793445325678565,0.7657149963829505,-0.0,0.0
5033,Avg,0.8081983018565718,0.05632065271168141,0.0,11.937316141530099,0.0,0.0,0.0,0.0,11.937316141530099,0.0808198301856572,0.7518776491448904,-0.0,0.0
5034,Avg,0.1945233735127565,0.0,0.6029390416856036,11.334377099844495,0.0,0.0,0.0,0.0,11.937316141530099,0.01945233735127565,0.7371685110297997,-0.0,0.0
5035,Avg,0.0,0.0,0.8174922320819409,10.516884867762554,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7357430088737468,-0.0,0.0
5036,Avg,0.0,0.0,0.872101747760557,9.644783120001998,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7848915729845013,-0.0,0.0
5037,Avg,0.0,3.4728958235297114,4.749173145310443,8.368505798221266,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8013600072496871,-0.0,0.0
5038,Avg,0.0,0.0,0.8923391935485238,7.476166604672742,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8031052741936714,-0.0,0.0
5039,Avg,0.0,0.0,0.8905385681155616,6.58562803655718,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8014847113040054,-0.0,0.0
5040,Avg,0.0,0.0,0.8784375937635578,5.707190442793623,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.790593834387202,-0.0,0.0
5041,Avg,0.0,0.0,0.8562200030049746,4.850970439788648,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7705980027044771,-0.0,0.0
5042,Avg,0.0,0.0,0.8374642136461691,4.013506226142479,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7537177922815521,-0.0,0.0
