t,s,Coal,Solar,Wind,Storage injection,Storage generation,unmet,surplus,Load
1737,Avg,0.5134910617096136,0.22665599503380068,0.058347346954077506,0.0,1.3880836316828692e-05,0.0,0.0,0.7985068964501769
1738,Avg,0.4529397806434862,0.28726250939481696,0.0918919892087301,0.0,6.940418158414346e-06,0.0,0.0,0.8321005256233759
1739,Avg,0.39857653122957587,0.3243685385954392,0.13153565711663862,0.0,3.470209079207173e-06,0.0,0.0,0.854483850129825
1740,Avg,0.33549371069909417,0.3398293840956984,0.18764669491899977,0.0,1.7351045396035865e-06,0.0,0.0,0.8629713513078779
1741,Avg,0.27931908500051644,0.33441808817060764,0.2425379271260117,0.0,8.675522698017933e-07,0.0,0.0,0.8562758810941786
1742,Avg,0.25879022918312267,0.30256874644007364,0.2835303784429838,0.01421310883616278,0.0,0.0,0.0,0.8306762452300173
1743,Avg,0.2614382952213722,0.24690970263914033,0.31125361798935874,0.0,0.0071069881942162905,0.0,0.0,0.8259979052246659
1744,Avg,0.3153914258861019,0.17254303578289332,0.3283308906814859,0.0,0.0035534940971081452,0.0,0.0,0.8194634970378785
1745,Avg,0.3591093386852073,0.08874525317148814,0.35130388765174125,0.0,0.0017767470485540726,0.0,0.0,0.8007575518521354
1746,Avg,0.3382236941036489,0.012987110220217774,0.41717336656569737,0.0,0.0008883735242770363,0.0,0.0,0.7691837070614134
1747,Avg,0.25879022918312267,0.0,0.5065224281056586,0.0,0.0,0.0,0.0,0.7653126572887813
1748,Avg,0.25879022918312267,0.0,0.5254244883623282,0.0,0.00044418676213851815,0.0,0.0,0.7846144856313756
1749,Avg,0.25879022918312267,0.0,0.4955775624634958,0.0,0.00022209338106925908,0.0,0.0,0.7545676756895808
1750,Avg,0.25879022918312267,0.0,0.48293544643751474,0.0,0.00011104669053462954,0.0,0.0,0.7418256176421185
1751,Avg,0.25879022918312267,0.0,0.4938921789375402,0.014102929697897951,0.0,0.0,0.0,0.738579478422765
1752,Avg,0.25879022918312267,0.0,0.47673968742483264,0.0,0.0,0.0,0.0,0.7355299166079553
1753,Avg,0.25879022918312267,0.0,0.4645424671447579,0.0,0.0007465683188071504,0.0,0.0,0.724004607814807
1754,Avg,0.2815295866273635,0.0,0.42123938377851033,0.0,0.006733704034812715,0.0,0.0,0.7088293040372052
1755,Avg,0.30788703769757914,0.0,0.38362872464297176,0.0,0.0033668520174063576,0.0,0.0,0.6945459291562166
1756,Avg,0.3360608022199737,0.0,0.3513038873198142,0.0,0.0016834260087031788,0.0,0.0,0.6888797729476208
1757,Avg,0.3637628175576357,0.0,0.33117710229894975,0.0,0.0008417130043515894,0.0,0.0,0.6956974615605018
1758,Avg,0.4044391316468663,0.0,0.3165394404655938,0.0,0.0004208565021757947,0.0,0.0,0.7213573429644183
1759,Avg,0.43919840580014663,0.0415896743956974,0.2746594630740417,0.0,0.00021042825108789735,0.0,0.0,0.7556369286958649
1760,Avg,0.5449655318551169,0.13636465731228664,0.10307353629502053,0.0,0.00010521412554394868,0.0,0.0,0.7844984181754137
1761,Avg,0.5058511116898747,0.20717532970347402,0.08558966284420069,0.0,5.260706277197434e-05,0.0,0.0,0.7986634505940441
1762,Avg,0.45090096302058774,0.26113368049937885,0.12299702093653862,0.0,2.630353138598717e-05,0.0,0.0,0.8350553376347526
1763,Avg,0.39716482261870106,0.3010226618900477,0.15227234460325054,0.0,1.3151765692993585e-05,0.0,0.0,0.8504716657011231
1764,Avg,0.33722046249228543,0.3268422738754807,0.1937457205722557,0.0,6.575882846496792e-06,0.0,0.0,0.8578143752345837
1765,Avg,0.29045528285184996,0.332408178255574,0.22871346846967663,0.0,3.287941423248396e-06,0.0,0.0,0.8515798887243815
1766,Avg,0.2630766252847498,0.31014456073520075,0.2524996689488801,0.0,1.643970711624198e-06,0.0,0.0,0.8257223345424711
1767,Avg,0.28997135927296924,0.2632981988694151,0.2691703398865332,0.0,8.21985355812099e-07,0.0,0.0,0.8224406378157377
1768,Avg,0.33386162295402255,0.1931059602982381,0.2911268326365672,0.0,4.109926779060495e-07,0.0,0.0,0.8180947857822379
1769,Avg,0.3577095193712866,0.10173236339170591,0.3269077843748633,0.0,2.0549633895302476e-07,0.0,0.0,0.7863498520845609
1770,Avg,0.3252887477965766,0.014842411680248887,0.41351395077543124,0.0,1.0274816947651238e-07,0.0,0.0,0.7536452027256093
1771,Avg,0.25879022918312267,0.0,0.4966940213056983,0.0,0.0,0.0,0.0,0.755484250488821
1772,Avg,0.25879022918312267,0.0,0.5120080542368011,0.0,5.137408473825619e-08,0.0,0.0,0.7707983296566
1773,Avg,0.25879022918312267,0.0,0.4792778552391026,0.0,2.5687042369128095e-08,0.0,0.0,0.7380681075405634
1774,Avg,0.25879022918312267,0.0,0.4643870652094578,0.0,1.2843521184564047e-08,0.0,0.0,0.7231773059517496
1775,Avg,0.25879022918312267,0.0,0.47525298923357806,0.014213963544911397,0.0,0.0,0.0,0.7198292548717893
1776,Avg,0.25879022918312267,0.0,0.45582129851864017,0.0,0.0,0.0,0.0,0.7146115277017628
1777,Avg,0.25879022918312267,0.0,0.44410501557744286,0.0,0.0,0.0,0.0,0.7028952447605655
1778,Avg,0.25879022918312267,0.0,0.4294166895579039,0.0,0.0,0.0,0.0,0.6882069187410266
1779,Avg,0.25879022918312267,0.0,0.41704255060042905,0.0,0.0,0.0,0.0,0.6758327797835517
1780,Avg,0.25879022918312267,0.0,0.40700832336770126,0.0,0.0040952172160796385,0.0,0.0,0.6694842480452956
1781,Avg,0.26427662847335237,0.0,0.4041621114183103,0.0,0.005059379586176471,0.0,0.0,0.6729921815192215
1782,Avg,0.2931884529724339,0.0,0.40172250122339337,0.0,0.0025296897930882356,0.0,0.0,0.6971876750096067
1783,Avg,0.33209999257384054,0.04066202366568184,0.3529302946696374,0.0,0.0012648448965441178,0.0,0.0,0.7268306713160495
1784,Avg,0.4245350873248206,0.13961143486734107,0.19659193252164667,0.0,0.0006324224482720589,0.0,0.0,0.7613076349172532
1785,Avg,0.46733849578670406,0.223873042843754,0.08233684880840861,0.0,0.00031621122413602945,0.0,0.0,0.7738329775405891
1786,Avg,0.47351688507907114,0.28216043037973143,0.045132791427344145,0.0,0.00015810561206801473,0.0,0.0,0.8009524019370079
1787,Avg,0.45966624110854926,0.3172565496653199,0.04513279076348991,0.0,7.905280603400736e-05,0.0,0.0,0.8221267290627896
1788,Avg,0.4434577814832402,0.32977983452052995,0.05631433851363456,0.0,3.952640301700368e-05,0.0,0.0,0.8295875282801201
1789,Avg,0.43612537090313275,0.31246368756023957,0.07501801755980352,0.0,1.976320150850184e-05,0.0,0.0,0.8236248629045335
1790,Avg,0.42584272484394553,0.2773675682746511,0.09758441310751202,0.0,9.88160075425092e-06,0.0,0.0,0.8008035996667874
1791,Avg,0.43644491937219465,0.23376798396391996,0.12624983464040362,0.0,4.94080037712546e-06,0.0,0.0,0.7964671846968576
1792,Avg,0.4384018457793149,0.1852209290931059,0.1632505909782675,0.0,2.47040018856273e-06,0.0,0.0,0.786875589210858
1793,Avg,0.4478458600501506,0.10018627884167997,0.21244939961842466,0.0,1.235200094281365e-06,0.0,0.0,0.7604826501903401
1794,Avg,0.41029493248915777,0.014687803225246295,0.30596779551312364,0.0,6.176000471406825e-07,0.0,0.0,0.7309510870675702
1795,Avg,0.3271987076423028,0.0,0.40172250089146627,0.0,3.0880002357034126e-07,0.0,0.0,0.7289214864537903
1796,Avg,0.3009024628055777,0.0,0.44075626633362736,0.0,1.5440001178517063e-07,0.0,0.0,0.7416588680992157
1797,Avg,0.25879022918312267,0.0,0.44924641842343815,0.0,7.720000589258532e-08,0.0,0.0,0.7080367170865661
1798,Avg,0.25879022918312267,0.0,0.42939031633560565,0.0,0.0,0.0,0.0,0.6881805455187283
1799,Avg,0.25879022918312267,0.0,0.4228355247404926,0.0,3.860000294629266e-08,0.0,0.0,0.6816257886636179
1800,Avg,0.25879022918312267,0.0,0.425642151770402,0.014213937788429635,0.0,0.0,0.0,0.670218443165095
