t,s,Solar,Wind,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand,emission
1068,Avg,1.7587557217470062,0.0,0.9154738345938115,0.0,3.3373856548819516,0.0,0.0,0.0,0.0,6.331341242238595,0.17587557217470062,0.8432818871531947,-0.0,0.0
1069,Avg,1.7510568883346895,0.0,0.9093210365468063,0.0,4.2467066914287575,0.0,0.0,0.0,0.0,6.331341242238595,0.17510568883346897,0.8417358517878832,-0.0,0.0
1070,Avg,1.6176104425212006,0.0,0.7990872393307316,0.0,5.045793930759489,0.0,0.0,0.0,0.0,6.331341242238595,0.16176104425212007,0.818523203190469,-0.0,0.0
1071,Avg,1.3883562920211043,0.0,0.5756853742662508,0.0,5.62147930502574,0.0,0.0,0.0,0.0,6.331341242238595,0.13883562920211043,0.8126709177548536,-0.0,0.0
1072,Avg,0.9751855655601104,0.0766091085259418,0.25237996582423594,0.0,5.873859270849976,0.0,0.0,0.0,0.0,6.331341242238595,0.10517946740860523,0.7994147082618163,-0.0,0.0
1073,Avg,0.44567691197966447,0.06652896287515254,0.0,0.2836240386542085,5.590235232195767,0.0,0.0,0.0,0.0,6.331341242238595,0.0512205874854817,0.7674675096436047,-0.0,0.0
1074,Avg,0.035072463322775894,0.11451045659422762,0.0,0.6599718819982838,4.9302633501974835,0.0,0.0,0.0,0.0,6.331341242238595,0.014958291991700352,0.7435576137154574,-0.0,0.0
1075,Avg,0.0,0.20644138735200565,0.0,0.6013653867906419,4.328897963406842,0.0,0.0,0.0,0.0,6.331341242238595,0.020644138735200566,0.7476702354635834,-0.0,0.0
1076,Avg,0.0,0.2882921711423747,0.0,0.5070842380149925,3.821813725391849,0.0,0.0,0.0,0.0,6.331341242238595,0.02882921711423747,0.744667985355868,-0.0,0.0
1077,Avg,0.0,0.341515340784187,0.0,0.41218339290102435,3.4096303324908246,0.0,0.0,0.0,0.0,6.331341242238595,0.0341515340784187,0.7124803943951089,-0.0,0.0
1078,Avg,0.0,0.39191606969644305,0.0,0.3369986149667202,3.0726317175241045,0.0,0.0,0.0,0.0,6.331341242238595,0.039191606969644306,0.6952148231664912,-0.0,0.0
1079,Avg,0.0,0.44070397514657844,0.0,0.26414905598669075,2.808482661537414,0.0,0.0,0.0,0.0,6.331341242238595,0.04407039751465785,0.6784381255346001,-0.0,0.0
1080,Avg,0.0,0.4790085294095494,0.0,0.21308735913876098,2.595395302398653,0.0,0.0,0.0,0.0,6.331341242238595,0.04790085294095495,0.6707871526344342,-0.0,0.0
1081,Avg,0.0,0.4153020079222628,0.0,0.2681335517255969,2.327261750673056,0.0,0.0,0.0,0.0,6.331341242238595,0.04153020079222628,0.6566222044753,-0.0,0.0
1082,Avg,0.0,0.29393705260148717,0.0,0.3871547939981819,1.9401069566748743,0.0,0.0,0.0,0.0,6.331341242238595,0.029393705260148718,0.6423763671998509,-0.0,0.0
1083,Avg,0.0,0.2278112952627099,0.0,0.44772459251998364,1.4923823641548908,0.0,0.0,0.0,0.0,6.331341242238595,0.022781129526270993,0.6307634285306951,-0.0,0.0
1084,Avg,0.0,0.24635876441878737,0.0,0.425583285546687,1.0667990786082038,0.0,0.0,0.0,0.0,6.331341242238595,0.02463587644187874,0.6293837214108057,-0.0,0.0
1085,Avg,0.0,0.32982237167127715,0.0,0.3421388303649741,0.7246602482432296,0.0,0.0,0.0,0.0,6.331341242238595,0.03298223716712772,0.6377473189997538,-0.0,0.0
1086,Avg,0.0,0.4040122443457282,0.0,0.2886085649318007,0.4360516833114289,0.0,0.0,0.0,0.0,6.331341242238595,0.04040122443457282,0.6637599527843487,-0.0,0.0
1087,Avg,0.1563978066789018,0.37699745365929194,0.0,0.19135607863880477,0.24469560467262413,0.0,0.0,0.0,0.0,6.331341242238595,0.05333952603381936,0.705615731113118,-0.0,0.0
1088,Avg,0.7630399337540513,0.0003036633689418311,0.0,0.0,0.24469560467262413,0.0,0.0,0.0,0.0,6.331341242238595,0.07633435971229932,0.7633435971229932,-0.0,0.0
1089,Avg,0.8048545013339753,0.0,0.0,0.0,0.24469560467262413,0.0,0.0,0.0,0.0,6.331341242238595,0.08048545013339753,0.8048545013339753,-0.0,0.0
1090,Avg,1.6715022764074172,0.0,0.8352271140467408,0.0,1.079922718719365,0.0,0.0,0.0,0.0,6.331341242238595,0.16715022764074172,0.8362751623606764,-0.0,0.0
1091,Avg,1.873382796997054,0.0,1.0201020039534168,0.0,2.1000247226727815,0.0,0.0,0.0,0.0,6.331341242238595,0.1873382796997054,0.8532807930436371,-0.0,0.0
1092,Avg,1.9050335565810226,0.0,1.0502513435752912,0.0,3.1502760662480727,0.0,0.0,0.0,0.0,6.331341242238595,0.19050335565810228,0.8547822130057313,-0.0,0.0
1093,Avg,1.884503334148178,0.0,1.0379715582280507,0.0,4.188247624476123,0.0,0.0,0.0,0.0,6.331341242238595,0.18845033341481782,0.8465317759201274,-0.0,0.0
1094,Avg,1.710851869403702,0.0,0.8864531672864252,0.0,5.074700791762548,0.0,0.0,0.0,0.0,6.331341242238595,0.17108518694037023,0.8243987021172768,-0.0,0.0
1095,Avg,1.4379709962338119,0.0,0.6224157074063725,0.0,5.697116499168921,0.0,0.0,0.0,0.0,6.331341242238595,0.1437970996233812,0.8155552888274393,-0.0,0.0
1096,Avg,0.8057626923133475,0.0,0.0,0.0,5.697116499168921,0.0,0.0,0.0,0.0,6.331341242238595,0.08057626923133476,0.8057626923133475,-0.0,0.0
1097,Avg,0.4764722456289311,0.0,4.064115864027018,4.856792569316522,4.9044397938794155,0.0,0.0,0.0,0.0,6.331341242238595,0.04764722456289311,0.7834696939867831,-0.0,0.0
